education_type,year,students
Primary education ,2012,61180
Secundary eduction for special needs childeren,2012,2810
Secundary education,2012,32950
Secundary education for adults,2012,360
Vocational education,2012,18760
University of applied sciences (bachelor),2012,24170
University (masters),2012,30290
Primary education ,2013,61620
Secundary eduction for special needs childeren,2013,2680
Secundary education,2013,33960
Secundary education for adults,2013,320
Vocational education,2013,18030
University of applied sciences (bachelor),2013,24030
University (masters),2013,29210
Primary education ,2014,62420
Secundary eduction for special needs childeren,2014,2780
Secundary education,2014,34770
Secundary education for adults,2014,870
Vocational education,2014,17780
University of applied sciences (bachelor),2014,25770
University (masters),2014,30670
Primary education ,2015,63110
Secundary eduction for special needs childeren,2015,2690
Secundary education,2015,35550
Secundary education for adults,2015,860
Vocational education,2015,16840
University of applied sciences (bachelor),2015,25990
University (masters),2015,31010
Primary education ,2016,63570
Secundary eduction for special needs childeren,2016,2570
Secundary education,2016,36350
Secundary education for adults,2016,890
Vocational education,2016,16540
University of applied sciences (bachelor),2016,26000
University (masters),2016,30470
Primary education ,2017,63450
Secundary eduction for special needs childeren,2017,2530
Secundary education,2017,36690
Secundary education for adults,2017,930
Vocational education,2017,16610
University of applied sciences (bachelor),2017,25340
University (masters),2017,29530
Primary education ,2018,62810
Secundary eduction for special needs childeren,2018,2600
Secundary education,2018,37240
Secundary education for adults,2018,970
Vocational education,2018,16570
University of applied sciences (bachelor),2018,24290
University (masters),2018,29270
Primary education ,2019,62580
Secundary eduction for special needs childeren,2019,2650
Secundary education,2019,37510
Secundary education for adults,2019,980
Vocational education,2019,16910
University of applied sciences (bachelor),2019,23230
University (masters),2019,30450
Primary education ,2020,62300
Secundary eduction for special needs childeren,2020,2680
Secundary education,2020,37960
Secundary education for adults,2020,920
Vocational education,2020,16930
University of applied sciences (bachelor),2020,23120
University (masters),2020,31630
Primary education ,2021,61150
Secundary eduction for special needs childeren,2021,2680
Secundary education,2021,38090
Secundary education for adults,2021,630
Vocational education,2021,17640
University of applied sciences (bachelor),2021,24700
University (masters),2021,33980
Primary education ,2022,59660
Secundary eduction for special needs childeren,2022,2730
Secundary education,2022,38570
Secundary education for adults,2022,800
Vocational education,2022,17810
University of applied sciences (bachelor),2022,25550
University (masters),2022,36420
Primary education ,2023,58390
Secundary eduction for special needs childeren,2023,2740
Secundary education,2023,39360
Secundary education for adults,2023,810
Vocational education,2023,16780
University of applied sciences (bachelor),2023,24600
University (masters),2023,37970
Primary education ,2024,59640
Secundary eduction for special needs childeren,2024,2760
Secundary education,2024,40740
Secundary education for adults,2024,1010
Vocational education,2024,16560
University of applied sciences (bachelor),2024,24490
University (masters),2024,39670
Primary education ,2025,58770
Secundary eduction for special needs childeren,2025,2740
Secundary education,2025,40580
Secundary education for adults,2025,920
Vocational education,2025,16350
University of applied sciences (bachelor),2025,23580
University (masters),2025,37710
