subsidy_year,Care,Education,education_yoy,care_yoy,t,edu_lag1,edu_lag2,care_lag1,care_lag2,edu_roll3,care_roll3
2015,,3263587.76,,,0,,,,,,
2016,150378.0,89996152.35,26.575833398149527,,1,3263587.76,,,,,
2017,13410656.0,56681088.31,-0.37018320417117245,88.17964063892325,2,89996152.35,3263587.76,150378.0,,49980276.14000001,
2018,39537529.87,77785801.07,0.37234134680996545,1.9482174376853747,3,56681088.31,89996152.35,13410656.0,150378.0,74821013.91000001,17699521.29
2019,48819946.79,100704701.78999999,0.2946411864984859,0.23477483167311486,4,77785801.07,56681088.31,39537529.87,13410656.0,78390530.38999999,33922710.88666666
2020,42538817.81,107875559.17999999,0.07120677845760781,-0.12865907058478376,5,100704701.78999999,77785801.07,48819946.79,39537529.87,95455354.01333332,43632098.156666666
2021,150891814.22,76531667.73,-0.29055600442079665,2.547155797651914,6,107875559.17999999,100704701.78999999,42538817.81,48819946.79,95037309.56666666,80750192.94
2022,163390223.77,84120701.17,0.0991620026728508,0.08283026892219181,7,76531667.73,107875559.17999999,150891814.22,42538817.81,89509309.36000001,118940285.26666667
2023,252111339.98,83433223.63,-0.00817251319161827,0.5430013752529668,8,84120701.17,76531667.73,163390223.77,150891814.22,81361864.17666666,188797792.65666667
2024,195532878.56,85727235.5,0.027495184414463303,-0.2244185502504107,9,83433223.63,84120701.17,252111339.98,163390223.77,84427053.43333334,203678147.43666664
2025,236455327.67,85897098.09,0.0019814308604411135,0.2092867931540361,10,85727235.5,83433223.63,195532878.56,252111339.98,85019185.74,228033182.07000002
2026,236274260.43,22969217.72,-0.7325961152269236,-0.0007657566517286218,11,85897098.09,85727235.5,236455327.67,195532878.56,64864517.10333333,222754155.5533333
